Time Stamp,time,P up,P down,T,Water in,Water out,Gas in,Gas out,Meter measure
37:30.7,53.50025,908.47351,762.987792,6.828228,0,1,0,0.1712455,0
37:40.7,53.66693333,908.482459,762.749038,6.867202,0,1,0,0.1712455,0
37:50.7,53.83358333,908.478506,762.807045,6.825564,0,1,0,0.1712455,0
38:00.7,54.00025,908.524892,762.999154,6.808157,0,1,0,0.1712455,0
38:10.7,54.16693333,908.503041,762.723922,6.841497,0,1,0,0.1712455,0
38:20.7,54.3336,908.491631,762.914088,6.806635,0,1,0,0.1712455,0
38:30.7,54.50026667,908.448602,762.876563,6.801593,0,1,0,0.1712455,0
38:40.7,54.66691666,908.498045,762.742759,6.831628,0,1,0,0.1712455,0
38:50.7,54.8336,908.46292,762.737975,6.811533,0,1,0,0.1712455,0
39:00.7,55.00028333,908.470229,762.39188,6.820143,0,1,0,0.1712455,0
39:10.7,55.16693334,908.482757,762.494438,6.849225,0,1,0,0.1712455,0
39:20.7,55.3336,908.470452,762.091531,6.83403,0,1,0,0.1712455,0
39:30.7,55.50025,908.493272,762.142511,6.80761,0,1,0,0.1712455,0
